Site,Size,Device,Floor,New Revenue,Old Revenue,Impression Count
(unknown),375x600,Desktop,2.89,0.00289,0.00289,1
(unknown),375x600,High-end mobile devices,1.19,0.0023799999999999997,0.0023799999999999997,2
(unknown),"300x250,320x50,300x50",Desktop,0,0,0,0
(unknown),970x90,Tablets,0,0,0,0
(unknown),970x90,Desktop,0.95,0.03847,0.027299999999999953,265
(unknown),1920x1000,Desktop,0,0,0,0
(unknown),320x100,High-end mobile devices,0,0,0,0
(unknown),"970x90,728x90",Desktop,0.98,0.02156000000000001,0.017749999999999995,27
(unknown),"160x600,970x90,300x250,728x90,320x50",Desktop,3.5500000000000003,0.0071,0.00135,5
(unknown),728x90,Tablets,0.44,0.6946199999999955,0.46147999999999906,3217
(unknown),728x90,Desktop,0.24,0.22698000000000032,0.18344000000000074,883
(unknown),728x90,High-end mobile devices,12.81,0.24338999999999988,0.09459999999999996,226
(unknown),728x90,(unknown),0.01,2e-05,2e-05,2
(unknown),"336x280,300x250",Desktop,0,0,0,0
(unknown),"300x600,160x600",Desktop,0,0,0,0
(unknown),600x375,High-end mobile devices,0,0,0,0
(unknown),970x250,Tablets,0.44,1.3217399999999988,1.0896399999999282,5532
(unknown),970x250,Desktop,0.44,0.5467899999999954,0.23237000000000047,2336
(unknown),970x250,(unknown),5.37,0.00537,0.00064,16
(unknown),"970x90,728x90,320x50",Desktop,2.3000000000000003,0.0023000000000000004,0.00043000000000000004,2
(unknown),"1920x1080,1920x1020,1860x1046",Desktop,5.69,0.017070000000000002,0.00435,6
(unknown),320x50,Tablets,2.12,0.0106,0.00445,71
(unknown),320x50,Desktop,0.049999999999999996,0.007899999999999996,0.007899999999999996,134
(unknown),320x50,High-end mobile devices,0.13,0.3625300000000055,0.30186999999997877,5261
(unknown),"980x250,970x250,980x163,970x90",Tablets,3.1900000000000004,0.0031900000000000006,0.0031900000000000006,1
(unknown),"980x250,970x250,980x163,970x90",Desktop,1.85,0.07452,0.05551,52
(unknown),900x900,Desktop,0,0,0,0
(unknown),468x60,Desktop,0.31,0.006150000000000002,0.005930000000000001,19
(unknown),160x30,Desktop,0,0,0,0
(unknown),300x150,Desktop,0.25,0.00025,0.00025,1
(unknown),160x600,Tablets,0,0,0,0
(unknown),160x600,Desktop,0.35,0.041229999999999996,0.0377,114
(unknown),160x600,High-end mobile devices,0,0,0,0
(unknown),"315x315,300x300,300x250",Tablets,1.11,0.0035700000000000003,0.0035700000000000003,3
(unknown),"315x315,300x300,300x250",Desktop,3.04,0.04864000000000001,0.022259999999999995,58
(unknown),"315x315,300x300,300x250",High-end mobile devices,1.46,0.00292,0.00292,2
(unknown),2x2,Desktop,0,0,0,0
(unknown),960x720,Tablets,0,0,0,0
(unknown),960x720,Desktop,0,0,0,0
(unknown),720x960,Tablets,0,0,0,0
(unknown),720x960,Desktop,0,0,0,0
(unknown),"300x600,300x250",Desktop,1.05,0.015750000000000007,0.013939999999999994,17
(unknown),"970x90,728x90,468x60",Desktop,0.89,0.00756,0.00756,6
(unknown),"1920x1080,1860x1080,1920x1020,1860x1046,1860x1020",Desktop,0,0,0,0
(unknown),"768x120,728x90",Tablets,0,0,0,0
(unknown),"768x120,728x90",Desktop,0,0,0,0
(unknown),"320x100,320x50",High-end mobile devices,0.07,7.000000000000001e-05,7.000000000000001e-05,1
(unknown),"970x250,970x90,728x90",Desktop,0,0,0,0
(unknown),972x30,Desktop,0,0,0,0
(unknown),300x600,Tablets,1.24,0.3656000000000002,0.3111900000000007,816
(unknown),300x600,Desktop,1.24,0.8675800000000071,0.8095700000000045,1564
(unknown),300x600,High-end mobile devices,0.24,0.4333000000000016,0.37731999999999966,1314
(unknown),300x600,(unknown),30.04,0.03004,0.00162,9
(unknown),470x1020,Desktop,0,0,0,0
(unknown),300x250,Tablets,0.84,0.3361500000000012,0.24671999999999916,904
(unknown),300x250,Desktop,0.75,1.035480000000009,0.8959700000000078,2586
(unknown),300x250,High-end mobile devices,0.74,0.7606000000000002,0.6773399999999995,1896
(unknown),300x250,(unknown),0.18,0.0009,0.0007999999999999999,7
(unknown),Video/Overlay,Tablets,0,0,0,0
(unknown),Video/Overlay,Desktop,3.99,0.047880000000000006,0.027720000000000012,28
(unknown),Video/Overlay,High-end mobile devices,1.28,0.00512,0.0042,5
(unknown),Video/Overlay,(unknown),0,0,0,0
(unknown),"300x250,320x100,320x50",Desktop,2.0700000000000003,0.0041400000000000005,0.00348,4
(unknown),"300x250,320x100,320x50",High-end mobile devices,0,0,0,0
(unknown),1x1,Desktop,0,0,0,0
